Stn Number,Latitude,Longitude,Elevation,First Year,Last Year,Number of Years,Stn Name
001012,-14.7925,125.8258,315,1969,2002,34,MITCHELL PLATEAU
001018,-16.4181,126.1025,546,1993,2012,20,MOUNT ELIZABETH
001021,-14.2961,126.6431,23,1970,1998,29,KALUMBURU MISSION
001025,-15.3797,126.3114,385,1996,2011,16,DOONGAN
002009,-16.4203,126.4411,488,1963,2008,46,GIBB RIVER
002012,-18.2292,127.6636,422,1955,2011,57,HALLS CREEK AIRPORT
002014,-15.6547,128.7092,31,1953,2011,59,KIMBERLEY RES.STATION
002020,-18.1894,127.5011,430,1997,2011,15,MOOLA BULLA
002021,-18.3869,126.9892,300,1964,2011,48,MOUNT AMHURST
002022,-18.016,126.3033,180,2000,2011,12,MOUNT WINIFRED
002026,-18.5958,127.6419,450,1997,2010,14,RUBY PLAINS
002030,-17.2964,126.915,450,1998,2008,11,YULMBU
002043,-18.3368,126.1243,160,1999,2008,10,MOUNT KRAUSS
002050,-17.7842,127.6853,420,1997,2008,12,SPRINGVALE
003003,-17.9475,122.2353,7.4,1948,2011,64,BROOME AIRPORT
003006,-18.1919,125.5644,114,1963,1983,21,FITZROY CROSSING COMP.
003017,-17.0514,125.7056,270,1964,2001,38,MOUNT HOUSE STATION
003032,-17.3706,123.6611,6.2,1972,1981,10,DERBY AERO
003040,-17.9903,124.1922,45,1963,2002,40,CAMBALLIN
003051,-16.7372,125.9086,401,1983,2008,26,MOUNT BARNETT
003094,-17.4211,124.9247,95,1997,2009,13,WINDJANA GORGE
004032,-20.3725,118.6317,6.4,1953,2011,59,PORT HEDLAND AIRPORT
004035,-20.7767,117.1456,12,1966,2011,46,ROEBOURNE
004041,-20.8503,120.695,159,1997,2011,15,WARRAWAGINE
005003,-22.8975,120.1733,425,1963,1984,22,ETHEL CREEK
005007,-22.2406,114.0967,5,1975,2011,37,LEARMONTH AIRPORT
005009,-22.6331,119.4081,430,1998,2011,14,MARILLANA
005016,-21.6364,115.1117,4,1975,2001,27,ONSLOW
005061,-20.7278,116.7483,6,1969,1993,25,DAMPIER SALT
005067,-22.0894,115.6239,80,1973,1982,10,CANE RIVER
005069,-21.6392,116.3308,200,1971,2011,41,PANNAWONICA
006011,-24.8878,113.67,4,1956,2011,56,CARNARVON AIRPORT
006022,-25.0544,115.21,144,1987,2011,25,GASCOYNE JUNCTION
006072,-23.0314,115.0414,111,1972,2010,39,EMU CREEK STATION
007019,-24.0019,119.5725,600,1998,2011,14,BULLOO DOWNS
007045,-26.6136,118.5372,517,1953,2011,59,MEEKATHARRA AIRPORT
007057,-28.0619,117.8503,426,1968,1997,30,MOUNT MAGNET
007059,-24.2297,118.2408,350,1998,2011,14,MOUNT VERNON
007062,-23.7942,120.2442,571,1963,1981,19,MUNDIWINDI
007064,-27.3636,116.4261,303,1963,1986,24,MURGOO
007080,-25.1256,119.1514,520,1968,2011,44,THREE RIVERS
007083,-23.6239,118.6561,530,1998,2011,14,TUREE CREEK
007091,-28.3392,116.6828,318,1963,1978,16,YALGOO
007100,-25.6933,118.0803,487,1998,2010,13,MOUNT PADBURY
007132,-25.0964,117.5922,472,1964,2011,48,MOUNT CLERE
007161,-25.4628,117.1364,450,1970,1985,16,ERRABIDDY
007165,-24.9483,118.7147,540,1998,2011,14,MINGAH SPRINGS
007191,-23.4531,119.7994,532,1984,2006,23,CAPRICORN ROADHOUSE
008051,-28.7953,114.6975,33,1953,2011,59,GERALDTON AIRPORT COMPARISON
008138,-30.8408,116.7267,305,1952,2010,59,WONGAN HILLS RES.STATION
008267,-28.3517,114.5778,60,1974,1989,16,NOKANENA
009021,-31.9275,115.9764,15.4,1961,2011,51,PERTH AIRPORT
009034,-31.9556,115.8697,19,1946,1992,47,PERTH REGIONAL OFFICE
009053,-31.6669,116.0189,40,1984,2011,28,PEARCE RAAF
009067,-31.7564,116.0222,15,1964,1991,28,UPPER SWAN RESEARCH STATION
009073,-32.3733,116.0581,200,1954,1992,39,SERPENTINE PIPE HEAD
009186,-31.7858,115.7772,17,1979,1992,14,BEENYUP
009194,-32.2208,115.8075,14,1983,2011,29,MEDINA RESEARCH CENTRE
009509,-32.8053,116.4711,213,1998,2008,11,BODDINGTON SHIRE
009510,-33.9575,116.1375,149.9,1963,2011,49,BRIDGETOWN COMPARISON
009538,-32.7103,116.0594,267,1953,2011,59,DWELLINGUP
009592,-34.4478,116.0433,174,1963,2011,49,PEMBERTON
009631,-33.6031,121.7828,158,1963,1991,29,ESPERANCE DOWNS RESEARCH STN
009741,-34.9414,117.8022,68,1965,2011,47,ALBANY AIRPORT COMPARISON
009771,-33.7411,115.4697,60,1998,2008,11,YOONGARILLUP
009789,-33.83,121.8925,25,1969,2011,43,ESPERANCE
009843,-34.4417,116.9944,230,1975,1986,12,FRANKLAND VINEYARDS
009873,-32.6492,116.0383,280,1989,2010,22,SOUTH DANDALUP DAM
009965,-33.3567,115.6447,5.2,1996,2008,13,BUNBURY
009971,-33.7844,115.4075,120,1998,2011,14,ACTON PARK
010092,-31.4756,118.2789,315,1966,2011,46,MERREDIN
010093,-31.4994,118.2242,318,1963,1985,23,MERREDIN RESEARCH STATION
010244,-31.7469,116.4561,330,1974,1985,12,BAKERS HILL
010308,-31.55,116.4867,150,1995,2008,14,TOODYAY EAST
