Stn Number,Latitude,Longitude,Elevation (m AHD),First Year,Last Year,Number of Years,Stn Name
001001,-15.1806,127.8456,2,1914,2011,98,OOMBULGURRI
001005,-15.4644,128.1,20,1886,1995,110,WYNDHAM PORT
001009,-15.4875,124.5222,12,1961,2012,52,KURI BAY
001010,-14.7883,126.4964,210,1965,2012,48,THEDA
001013,-15.4872,128.1247,11,1968,2012,45,WYNDHAM
001018,-16.4181,126.1025,546,1973,2012,40,MOUNT ELIZABETH
001021,-14.2961,126.6431,23,1941,2005,65,KALUMBURU MISSION
002000,-17.7569,127.9386,363,1904,2002,99,ALICE DOWNS
002001,-16.5039,128.9172,120,1890,2010,121,ARGYLE DOWNS
002002,-18.8833,126.2333,,1906,1959,54,BOHEMIA DOWNS
002003,-16.87,128.1836,194,1945,1994,50,BOW RIVER
002005,-15.4864,128.5344,20,1897,2011,115,CARLTON HILL
002007,-16.3167,128.25,,1920,1973,54,DUNHAM RIVER STATION
002008,-18.3167,128,,1898,1975,78,FLORA VALLEY OLD
002009,-16.4203,126.4411,488,1922,2012,91,GIBB RIVER
002010,-18.7506,128.5842,354,1919,1997,79,GORDON DOWNS
002011,-18.2519,127.7817,360,1890,1998,109,OLD HALLS CREEK
002012,-18.2292,127.6636,422,1944,2012,69,HALLS CREEK AIRPORT
002013,-15.69,128.6833,40,1907,2012,106,IVANHOE STATION
002014,-15.6547,128.7092,31,1944,2010,67,KIMBERLEY RES.STATION
002015,-18.4086,127.3547,400,1920,2007,88,LAMBOO
002016,-16.6742,128.5533,120,1895,2009,115,LISSADELL
002017,-18.7106,126.7111,248,1915,1995,81,LOUISA DOWNS
002018,-17.1792,128.1217,254,1922,2004,83,MABEL DOWNS
002019,-18.6253,126.8617,280,1913,2012,100,MARGARET RIVER STATION
002020,-18.1894,127.5011,430,1903,2011,109,MOOLA BULLA
002021,-18.3869,126.9892,300,1925,2012,88,MOUNT AMHURST
002023,-18.0308,128.8942,380,1921,2011,91,NICHOLSON
002024,-17.4,128.85,,1894,1967,74,ORD RIVER
002026,-18.5958,127.6419,450,1900,2012,113,RUBY PLAINS
002027,-16.35,128.0333,,1908,1944,37,SPEEWA STATION
002028,-16.8181,128.8656,180,1927,2011,85,SPRING CREEK
002029,-19.1625,128.1633,400,1899,2012,114,STURT CREEK
002030,-17.2964,126.915,450,1950,2012,63,YULMBU
002031,-17.0103,128.4669,250,1922,1995,74,TEXAS DOWNS
