Stn Number,agency,Latitude,Longitude,Elevation,First Date,First Yea,Last Date,Last Year,Number of Years,Stn Name
00001_205,205,-35.7958,148.4042,580,11:12_31/03/1970,1970,10:01_04/09/2008,2008,39,RAVINE RAINGAUGE
00018_205,205,-36.3139,148.4806,1220,13:38_27/02/1995,1995,18:56_30/12/2008,2008,14,ISLAND BEND RAINGAUGE
0003_129,129,-41.8182,145.802,941,09:57_18/01/1990,1990,18:10_20/10/2008,2008,19,BLUFF RIVER
0004_129,129,-41.6616,146.177,849.3,16:00_23/05/1970,1970,15:50_20/10/2008,2008,39,BORRADAILEPLAINS
0005_129,129,-42.2395,146.4938,637,12:40_24/08/1999,1999,06:45_20/10/2008,2008,10,BRADYS LAKE AT DAMLEAKAGE WEIR
00052_205,205,-36.3778,148.3722,1585,11:30_27/11/1988,1988,18:51_30/12/2008,2008,21,GUTHEGA DAM TELEMETERING PLUVIOGRAPH
00072_205,205,-36.1367,148.3882,1640,13:25_26/09/1968,1968,10:00_17/10/2008,2008,41,JAGUNGAL RAINGAUGE
00081_205,205,-36.2611,148.3778,1740,00:00_21/02/1975,1975,02:55_16/10/2008,2008,34,THE KERRIES PLUVIOGRAPH
0010_129,129,-41.6138,145.1622,240,16:11_28/11/1989,1989,12:25_03/09/2008,2008,20,BROWNPLAINS
001012_76,76,-14.7911,125.8271,0,00:00_06/11/1969,1969,00:00_01/10/2002,2002,34,MITCHELL PLATEAU - MITCHELL PLATEAU
0014_129,129,-42.1105,145.6599,250.3,14:49_25/06/1999,1999,11:24_17/12/2007,2007,9,BURBURY NEARBRADSHAWS BRIDGE
0015_129,129,-42.2769,146.274,667,14:36_13/05/1992,1992,18:05_20/10/2008,2008,17,BUTLERSGORGE
0016_129,129,-42.1289,145.84,435,00:00_22/03/1968,1968,13:50_01/09/2008,2008,41,CARDIGANFLATS
0017_129,129,-42.0691,145.6057,280,07:56_07/12/1994,1994,07:00_12/09/2008,2008,15,CHAMOUNIVALLEY
0019_129,129,-42.167,146.3833,690.2,17:15_23/02/1965,1965,14:05_20/10/2008,2008,44,CLARENCE RIVER BELOW DIVERSION WEIR
002039_76,76,-17.6686,126.0313,0,13:31_05/05/1992,1992,07:14_20/10/2008,2008,17,FITZROY RIVER - DIMOND GORGE
0021_129,129,-42.3838,147,350,00:00_28/04/1997,1997,12:00_27/06/2008,2008,12,CLYDE RIVER AT BOTHWELL
0022_129,129,-42.2204,145.6223,252.8,10:36_13/12/1990,1990,14:10_20/10/2008,2008,19,DARWIN DAM
0023_129,129,-42.2478,146.5659,657.9,16:20_15/10/1996,1996,16:20_20/10/2008,2008,13,DEE LAGOON AT TUNNEL INLET
0026_129,129,-42.0041,146.6098,1010.1,14:18_13/11/1992,1992,18:05_20/10/2008,2008,17,DEEP CREEKCUT AT MARLBORHHWY
0029_129,129,-42.1288,146.2154,727.7,17:03_07/11/1991,1991,14:40_20/10/2008,2008,18,DERWENT RIVER BELOW LAKESTCLAIR
00300_205,205,-35.9941,148.7795,1040,13:35_26/11/2000,2000,10:08_30/12/2008,2008,9,ADAMINABY TIPPING BUCKET RAINGAUGE
0031_129,129,-41.1984,145.1181,232,10:21_16/01/1990,1990,12:29_20/12/2007,2007,18,DODDS CREEK
0033_129,129,-41.9383,146.2618,1105,15:20_30/04/1992,1992,19:30_13/10/2008,2008,17,EAGLE LAKE
0036_129,129,-41.6975,146.3971,1144.4,11:45_05/12/1973,1973,18:15_20/10/2008,2008,36,FISHER RIVER UPSTREAM LAKEMACKENZIE
0038_129,129,-42.7712,146.3942,474.6,14:05_16/08/1989,1989,14:30_20/10/2008,2008,20,FLORENTINEVALLEY SALVATION CREEK
0040_129,129,-42.2396,145.7639,325.7,14:55_05/03/1987,1987,12:50_18/10/2008,2008,22,FRANKLIN RIVER AT MTFINCHAMTRACK
004076_76,76,-21.1787,117.2213,0,10:15_11/09/1991,1991,08:05_19/05/2009,2009,19,HARDING RIVER 2 - LYRE CREEK WELL
004087_76,76,-21.2287,117.0513,0,16:07_04/12/1989,1989,13:20_24/05/2007,2007,19,HARDING RIVER 3 - BLACK HILLS
0041_129,129,-42.3555,145.6504,320,18:07_21/03/1968,1968,14:10_17/12/2007,2007,40,FRANKLINTRACK HILL4
005017_76,76,-21.6672,115.1133,0,00:00_15/05/1961,1961,00:00_13/08/1973,1973,13,ONSLOW AIRPORT - ONSLOW AIRPORT
